"","AverageSlope","Elevation","FireMortality","DeadBA0607","DistanceFromFireEdge","litter2009","bare2009","hostCWD","PreFireSODmortality","Shrub.BA.LIVE.13","LIDEsurvivingBA","PostFireLIDEresprouting","SESEsurvivingBA","PostFireSESEresprouting","UMCAsurvivingBA","PostFireUMCAresprouting","ARMEsurvivingBA","PostFireARMEresprouting","QUAGsurvivingBA","PostFireQUAGresprouting","QUPAsurvivingBA","PostFireQUPAresprouting","PostFireQUCHresprouting","QUERsurvivingBA","PostFireQUERresprouting","P_ramorum","Burned_2008","ForestAllianceType","DiseaseStage","Samplingtmax","PFtmax5yr","PFtmax2yr","PFtmax1yr","PFtmaxtot","Samplingtmin","PFtmin5yr","PFtmin2yr","PFtmin1yr","PFtmintot","SamplingPrecip","PFPrecip5yr","PFPrecip2yr","PFPrecip1yr","PFPreciptot","Samplingtmean","PFtmean5yr","PFtmean2yr","PFtmean1yr","PFtmeantot","DistCoast","lideseed2013","seseseed2013","quagseed2013","quchseed2013","qupaseed2013","armeseed2013","umcaseed2013","seedlings2013","saplings2013","BigSurPlot"
"148",33,689,0.500235798231103,0.488451684187488,1373.061082,0.03,0.5,1.15453530019425,0.678568305212128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,"MixedEvergreen","LATE",14.6599998474121,13.6000003814697,14.7700004577637,14.9399995803833,13.6000003814697,4.96999979019165,2.45000004768372,3.38000011444092,3.38000011444092,2.45000004768372,902.756493066437,931.048010796308,1010.02000795305,729.579998493195,729.579998493195,15.533333281676,13.9988333662351,14.2008333404859,14.3620834151904,14.5435937667886,3.29551839992001,0,0,55,0,0,12,45,161,3,"BS232"
"149",38,687,2.42132520368841,0.43184725315327,878.5196495,0.5,0.005,0.109955742875643,0.43184725315327,0,0,0,0,0,0.563975571579786,0,0.291289256239009,0,0.461244706409236,0,0,0,0,0.461244706409236,0,TRUE,TRUE,"MixedEvergreen","EARLY",14.0900001525879,13.0299997329712,13.75,14.5200004577637,13.0299997329712,4.30999994277954,2.63000011444092,3.40000009536743,3.40000009536743,2.63000011444092,941.25151130557,962.716000342369,1036.48500326276,737.290008544922,737.290008544922,16.144291549921,14.7165000081062,14.9068750838439,15.2133333683014,15.2448229019841,8.56376712357647,0,0,29,0,0,0,68,131,2,"BS233"
"155",40,403,0.312290017730093,0.0419583260831819,5128.497345,0.875,0.1,0.245436926061703,0.0433665449901535,0,0.766749669405739,0.248124558576849,3.48116112033101,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,"Redwood","MIDDLE",14.0900001525879,13.0299997329712,13.75,14.5200004577637,13.0299997329712,4.30999994277954,2.63000011444092,3.40000009536743,3.40000009536743,2.63000011444092,941.25151130557,962.716000342369,1036.48500326276,737.290008544922,737.290008544922,16.144291549921,14.7165000081062,14.9068750838439,15.2133333683014,15.2448229019841,10.2432411282509,20,1,0,0,2,0,1,24,33,"BS242"
"157",35,357,0.157851679074109,0.156862862786392,6341.510195,0.875,0.2,0,0.156862862786392,0.000380918109247762,0.364237037655364,0.000360497756999429,7.82832738836527,0.506013187121054,0,0.00262794225472786,0,7.85398163397448e-05,0,0,0,0.000746128255227576,0,0,0.000746128255227576,FALSE,TRUE,"Redwood","EARLY",13.1300001144409,12.2299995422363,12.8599996566772,13.7399997711182,12.2299995422363,4.15999984741211,2.83999991416931,3.67000007629395,3.67000007629395,2.83999991416931,965.079496204853,1004.89599465728,1073.79999747872,761.670009613037,761.670009613037,15.9177499115467,14.5772500296434,14.7385416825612,15.1620834271113,15.0827708331247,12.0256720078583,3,168,0,7,21,54,3,344,17,"BS244"
"160",26,570,3.36233980298693,1.41119478061274,7422.333972,0.875,0.03,0,1.41119478061274,0.00586142649343516,0,0,3.4897871483596,0.0593431144299844,0,0.0089857403874302,0,0.00022776546738526,0,0,0,0,0,0,0,FALSE,TRUE,"Redwood","EARLY",14.6599998474121,13.6000003814697,14.7700004577637,14.9399995803833,13.6000003814697,4.96999979019165,2.45000004768372,3.38000011444092,3.38000011444092,2.45000004768372,902.756493066437,931.048010796308,1010.02000795305,729.579998493195,729.579998493195,15.533333281676,13.9988333662351,14.2008333404859,14.3620834151904,14.5435937667886,4.12639683468849,0,116,48,3,29,57,3,256,56,"BS247"
"163",18.5,866,2.3787966785386,0.0395330165546106,1963.746476,0.875,0.03,0.0471238898038469,0.0395330165546106,0.00041547562843725,0,0,0,0,0,0,0.0545089887342731,0,1.48724881176533,0,0,0,0,1.48724881176533,0,FALSE,TRUE,"MixedEvergreen","EARLY",13.1400003433228,12.3599996566772,13.25,13.6199998855591,12.3599996566772,4.8899998664856,2.84999990463257,4.19000005722046,4.19000005722046,2.84999990463257,919.499984577298,960.874001871794,1026.86998989992,741.599989414215,741.599989414215,15.2996249397596,13.851166643699,14.0285416940848,14.3037500977516,14.3827187183003,2.70324831900314,0,0,57,0,5,632,1,697,31,"BS251"
"173",32.5,624,2.69332351023805,0.0019383626672649,1028.106585,0,0.1,0,0.0019383626672649,0,0,0,0,0,0,0,0,0,1.56382827428923,0,0,0,0,1.56382827428923,0,TRUE,TRUE,"MixedEvergreen","EARLY",13.1400003433228,12.3599996566772,13.25,13.6199998855591,12.3599996566772,4.8899998664856,2.84999990463257,4.19000005722046,4.19000005722046,2.84999990463257,919.499984577298,960.874001871794,1026.86998989992,741.599989414215,741.599989414215,15.2996249397596,13.851166643699,14.0285416940848,14.3037500977516,14.3827187183003,3.62416633947662,0,0,11,0,1,0,3,15,26,"BS272"
"174",39,283,1.49486167616314,0.118561350551989,1641.820824,0,0.5,0.399571315628452,0.237122701103977,0,0.162597054777357,0,0,0,0,0,0,0,1.17040819707651,0,0,0,0,1.17040819707651,0,TRUE,TRUE,"MixedEvergreen","MIDDLE",11.25,10.539999961853,11.3000001907349,11.5699996948242,10.539999961853,3.66000008583069,2.29999995231628,3.91000008583069,3.91000008583069,2.29999995231628,1035.88399776071,1125.30400642157,1198.7850061655,859.539983034133,859.539983034133,15.7265207519134,14.4109166045984,14.563958277305,14.9654166400432,14.9085572188099,4.88873542107058,2,0,37,0,0,0,8,47,17,"BS273"
"175",36,1153,2.24749852597079,0.000380132711084365,2423.799983,0.1,0.875,0,0.00076026542216873,0,1.75932958512213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,"MixedEvergreen","EARLY",13.8000001907349,13.1000003814697,13.8999996185303,14.3699998855591,13.1000003814697,5.44000005722046,4.42999982833862,4.92000007629395,4.92000007629395,4.42999982833862,774.32850263454,836.673998492956,898.629998683929,644.819991111755,644.819991111755,15.2934584120909,13.8332500457764,14.0016667048136,14.2387500802676,14.3558125744263,1.28689692878151,4,0,0,1,0,21,2,30,34,"BS274"
"178",40,384,0.210981508633457,0.30305844771752,476.2475586,0.625,0.2,0.154134389566749,0.304381058224681,0,0.997569550248452,0,0.586514928072966,0.000309446876378595,0.421683415520744,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,"Redwood","EARLY",13.8000001907349,13.1000003814697,13.8999996185303,14.3699998855591,13.1000003814697,5.44000005722046,4.42999982833862,4.92000007629395,4.92000007629395,4.42999982833862,774.32850263454,836.673998492956,898.629998683929,644.819991111755,644.819991111755,15.2934584120909,13.8332500457764,14.0016667048136,14.2387500802676,14.3558125744263,1.70402549609888,5,2,0,0,0,0,2,10,11,"BS278"
